,grado_entrada,grado_salida,grado_total,intermediacion,cercania
jcarlos223020,4.0,18.0,22.0,0.00012757930254685452,0.45837600585223115
aztecanoticiagt,20.0,2.0,22.0,0.0001098089301595289,0.46284532427241837
muniguate,22.0,0.0,22.0,7.510684631706962e-05,0.3220269297975126
rquinonezl,22.0,0.0,22.0,8.926350932803831e-05,0.32369046389089784
lared1061,22.0,0.0,22.0,1.4037142221823734e-05,0.31936799184505604
luchopo81993102,1.0,20.0,21.0,0.00067108320528149,0.4587115666178624
puertoinforma,8.0,13.0,21.0,6.208745155007042e-05,0.464010663507109
marvgcaceres,21.0,0.0,21.0,5.000032881625951e-06,0.3173300921705662
car_pin_,0.0,21.0,21.0,0.0006749357106844588,0.46026149551931833
statedept,21.0,0.0,21.0,0.00010641071944635509,0.3270696314855413
lucreciapeinado,21.0,0.0,21.0,5.613584019258835e-05,0.33644759450171824
diaco_gt,21.0,0.0,21.0,5.000032881625951e-06,0.3173300921705662
gxldedibu,10.0,11.0,21.0,0.00017867003382455334,0.45717204144170437
hptamd,0.0,21.0,21.0,0.010598329030413271,0.4577063550036523
guiselabarrios,0.0,21.0,21.0,0.0006625496996645561,0.4600587371512482
alfredo93672277,1.0,19.0,20.0,6.960833216709415e-05,0.45904761904761904
dimb502,3.0,17.0,20.0,0.0004015662046731792,0.4587115666178624
rafaelcarrerra,19.0,1.0,20.0,4.095085865547343e-05,0.32100409836065574
nachitop110505,0.0,20.0,20.0,0.00018288069090063467,0.4586444151661543
samemerz68789,1.0,19.0,20.0,0.0003087652750841788,0.45837600585223115
adolfof92932835,3.0,16.0,19.0,0.00016773336403102862,0.4622307465329006
kikegt2023,3.0,16.0,19.0,0.0005009690599020354,0.4589803691766774
pedgar05,18.0,1.0,19.0,3.171279524839062e-05,0.4587115666178624
mineducgt,19.0,0.0,19.0,8.193538962063596e-05,0.3445128656256873
_newsgt,7.0,12.0,19.0,7.107033487438493e-05,0.4587115666178624
la_revoluzzion,0.0,19.0,19.0,0.0009963120042149741,0.4583089526038619
kaibilbalam_,0.0,19.0,19.0,0.00016022317117833865,0.4587787377361254
chepechapin58,2.0,17.0,19.0,0.0001380272768479654,0.45837600585223115
elanalistagt2,1.0,18.0,19.0,0.0006863091075400888,0.46012630342194155
cokyblancot,0.0,18.0,18.0,0.0007617760328635003,0.45884592852958406
sivmenor,0.0,18.0,18.0,6.588507080217364e-05,0.45837600585223115
vicgarciadice,16.0,2.0,18.0,1.7999826947271153e-05,0.4577063550036523
marielp82893334,5.0,13.0,18.0,0.0019202954166688989,0.4587115666178624
tatiana79580643,0.0,18.0,18.0,0.0021924938172540607,0.45857728337236536
aleexxcarrera,6.0,12.0,18.0,1.852081566323591e-05,0.45837600585223115
luis_sutte31199,1.0,17.0,18.0,0.0008036402524792862,0.4575726595589309
ferxomartinez,1.0,17.0,18.0,0.0017186281399881776,0.45750584112149534
elemasurf,1.0,17.0,18.0,0.00024271953450731045,0.4576394975167981
daviidvx,4.0,14.0,18.0,0.00031391072548503005,0.45884592852958406
alemarro1991,1.0,16.0,17.0,0.000605423834530441,0.4578401285985679
edvin111956,0.0,17.0,17.0,0.00012331047004965776,0.45851017122786475
carlespgt,2.0,15.0,17.0,2.4590422649220696e-05,0.45911488862837047
crticaconstru20,13.0,4.0,17.0,8.958028041781438e-06,0.4573722627737226
alfredo51628363,1.0,16.0,17.0,0.0015505989516883683,0.4583089526038619
eg_gd26,1.0,16.0,17.0,0.00038873860528172374,0.4587115666178624
asolaresdl,1.0,16.0,17.0,0.00014867183592373004,0.45837600585223115
vichoguate,17.0,0.0,17.0,4.6395480227587716e-05,0.3216962727179382
esperan56991069,1.0,16.0,17.0,0.0006420514128329052,0.4573722627737226
jzamorano1965,0.0,17.0,17.0,0.0003318380786860506,0.45851017122786475
hami417,1.0,16.0,17.0,0.00014731932233660817,0.45837600585223115
pulino316,0.0,17.0,17.0,0.00025923882849515433,0.4583089526038619
usembassyguate,17.0,0.0,17.0,0.00016309927038073214,0.3393630849220104
manuelcevans,3.0,14.0,17.0,4.212033071000837e-05,0.45904761904761904
elimarios_,11.0,6.0,17.0,7.909307622378268e-06,0.4581079105132329
mariamartaumaa1,8.0,9.0,17.0,2.5093209396933473e-05,0.4573055028462998
rmendezruiz,6.0,11.0,17.0,0.00020620382703070972,0.4587115666178624
javierr07772901,4.0,13.0,17.0,9.627564039320129e-05,0.4576394975167981
elakademicista,11.0,5.0,16.0,1.8219305032580245e-05,0.45837600585223115
gustphographer,1.0,15.0,16.0,0.00034647840626503675,0.45697199533255545
karlademoller,0.0,16.0,16.0,0.00014424922157496947,0.4579739804122204
claudiayan8074,0.0,16.0,16.0,0.002941602845671197,0.45857728337236536
karinapazgt,16.0,0.0,16.0,1.8125133083969846e-05,0.3171373620811823
kiwiiiigaby,1.0,15.0,16.0,0.00027984036207848764,0.45804093567251464
josejorgemonroy,1.0,15.0,16.0,0.001069258172668383,0.4594515324827687
mrviajerogt,0.0,16.0,16.0,0.00022324049655371946,0.4573722627737226
meme_punisher,4.0,12.0,16.0,0.001615889062466183,0.45804093567251464
jer21668,3.0,13.0,16.0,7.237480307774451e-06,0.4583089526038619
miguel479279560,0.0,16.0,16.0,0.00011282696835734732,0.4579739804122204
ejercito_gt,16.0,0.0,16.0,3.365535925569645e-05,0.32028215088938866
vequedeahuevo,0.0,16.0,16.0,0.0012945227601352948,0.4578401285985679
ronaldmazarie11,2.0,14.0,16.0,0.00011284649735272671,0.45697199533255545
johanmauricio34,0.0,16.0,16.0,0.0007556064814803499,0.4589803691766774
jasonborn1970,1.0,14.0,15.0,0.0002728575550754478,0.45703865791393145
germanzzo,1.0,14.0,15.0,0.00018939944697755556,0.45851017122786475
alex8084475921,2.0,13.0,15.0,2.5863239971927064e-05,0.45750584112149534
jorgitovasquez1,1.0,14.0,15.0,0.001238979733786403,0.45777323202805376
eliottello1,0.0,15.0,15.0,0.0003030724975521922,0.4579739804122204
rcocinera,1.0,14.0,15.0,1.3682237996259731e-05,0.4575726595589309
xelanewsgt,12.0,3.0,15.0,7.647543701225725e-05,0.35233918128654973
luislarachito,0.0,15.0,15.0,0.00014822466253436618,0.457439042195941
mildred_gaitan,1.0,14.0,15.0,0.000857355091899281,0.45824191897030864
tumbadorense,1.0,14.0,15.0,0.0013863715381819631,0.45750584112149534
alanlitio,0.0,15.0,15.0,0.0013895076607058807,0.45703865791393145
erwin_fern84019,0.0,15.0,15.0,0.0006961603996343949,0.4584430787240269
waltehermosilla,14.0,1.0,15.0,1.3112115710585803e-05,0.45663897391050867
axelgar56163124,4.0,11.0,15.0,3.2716920042594095e-05,0.4576394975167981
luisfergo04,0.0,15.0,15.0,0.0008737195099431873,0.4579739804122204
llviz_40,0.0,15.0,15.0,0.00011497560991263199,0.4576394975167981
extasisvgames,7.0,8.0,15.0,0.000675033125899001,0.45884592852958406
parabensvzla,0.0,15.0,15.0,0.004147267778673778,0.45710533994747593
marcoanmo72,5.0,9.0,14.0,0.0006469002290740027,0.4573055028462998
checastillo38,0.0,14.0,14.0,0.0005020882507073499,0.45697199533255545
aralgo49,1.0,13.0,14.0,0.00018538537671840876,0.4569053521948374
cc_guatemala,14.0,0.0,14.0,4.0400891015124e-05,0.3344006831038531
cinymonz,0.0,14.0,14.0,0.0008213730527507755,0.45697199533255545
mihumarju1,0.0,14.0,14.0,0.00014816185492729067,0.4575726595589309
martifus,0.0,14.0,14.0,0.00010829380349579892,0.4577063550036523
ldomilto,0.0,14.0,14.0,0.000137981615779008,0.45723876240513717
josul65814,0.0,14.0,14.0,2.4911266079422814e-05,0.4573722627737226
senatorgt,0.0,14.0,14.0,3.3940594352756746e-05,0.457907044723765
lapicerobicrojo,0.0,14.0,14.0,0.00024805183667074896,0.4576394975167981
anirietter71,0.0,14.0,14.0,0.004210187773794096,0.45697199533255545
cedeguate,3.0,11.0,14.0,9.482421358602922e-05,0.4576394975167981
isabellapa92060,0.0,14.0,14.0,0.0002630262515124374,0.45817490494296575
ronaldm05161013,0.0,14.0,14.0,0.0006561020390909411,0.45824191897030864
eapablo10_,1.0,13.0,14.0,0.001013285958691492,0.45717204144170437
adrianvasq25812,0.0,14.0,14.0,1.2911683151726758e-05,0.4587787377361254
maestro_roshi_3,8.0,6.0,14.0,9.290291267952198e-05,0.457907044723765
vmanuel2023,0.0,14.0,14.0,9.843880300460002e-05,0.457907044723765
noetineco,0.0,14.0,14.0,0.0008410358923424322,0.4573055028462998
cbarreno24,0.0,14.0,14.0,0.00021342607352813303,0.4569053521948374
alvarado66gt,0.0,14.0,14.0,0.0005778752693306141,0.4579739804122204
maza110vac,0.0,14.0,14.0,0.0011294697130150662,0.4573055028462998
carlosdahinten,1.0,13.0,14.0,0.0004597294685275237,0.4567055393586006
robrimola,8.0,6.0,14.0,0.0002668767294244315,0.4577063550036523
aljudyc,0.0,14.0,14.0,0.002429510139562491,0.45710533994747593
guateabner1993,0.0,14.0,14.0,0.00043604854203811364,0.4587787377361254
walterm91033122,0.0,14.0,14.0,0.00010958148622759828,0.4573722627737226
marinac91262,1.0,13.0,14.0,0.000559799144740743,0.4568387284922718
dupin07,0.0,14.0,14.0,0.0007581233909849192,0.4583089526038619
tristemico,1.0,13.0,14.0,4.053861897886539e-05,0.4579739804122204
chairohater502,10.0,4.0,14.0,0.00010303119839994572,0.3362309508478214
raymund74927220,0.0,14.0,14.0,0.0005020882507073499,0.45697199533255545
deleriv,2.0,12.0,14.0,1.2895559192515176e-05,0.45824191897030864
colochitaaaaaa,1.0,13.0,14.0,0.0007261044869234218,0.45777323202805376
vertical_dorsal,0.0,13.0,13.0,0.0007356546405096154,0.4568387284922718
neil031979,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
elanalitico_3,1.0,12.0,13.0,0.00013965950102804806,0.4578401285985679
gtkaliman,0.0,13.0,13.0,2.4849626003868797e-05,0.45837600585223115
juanchapilandia,0.0,13.0,13.0,4.4062514102829006e-05,0.45857728337236536
sr_john_t,0.0,13.0,13.0,0.00018300726915677573,0.4568387284922718
